structure_name,reaction,energy_ts,energy_first,energy_last,e_affinity,en_pauling,ion_pot,d_radius,d_filling,d_center,d_width,d_skewness,d_kurtosis,sp_filling,d_density,sp_density,work_func,n_coord
"Rh+Pt1_111_CO2[ss]=CO[s]+O[s]_brg[Pt.9,Rh.9]-top[Rh.9]_brg[Pt.9,Rh.9]-3fh[Pt.9,Rh.9,Rh.9]-00",CO2[ss]=CO[s]+O[s],0.5343358630821058,-0.943596573040395,-0.7227405460539558,1.6325000000000003,2.24,8.208865,1.275,8.584515524305262,-2.0083802739073384,1.8079290282882154,0.5586178703022063,3.9439583271129246,0.6229296584760625,1.3784,0.11404823124999999,5.324816391980125,9.0
"Rh+Pt1_111_CO2[ss]=CO[s]+O[s]_top[Pt.9]-brg[Rh.9,Rh.9]_top[Pt.9]-brg[Rh.9,Rh.9]-00",CO2[ss]=CO[s]+O[s],0.3013295450332407,-0.22819908694100377,-0.6778213541433615,1.6325000000000003,2.24,8.208865,1.275,8.584515524305262,-2.0083802739073384,1.8079290282882154,0.5586178703022063,3.9439583271129246,0.6229296584760625,1.3784,0.11404823124999999,5.324816391980125,9.0
"Cu_111_CO2[ss]=CO[s]+O[s]_brg[Cu.9,Cu.9]-top[Cu.9]_brg[Cu.9,Cu.9]_3fh[Cu.9,Cu.9,Cu.9]-00",CO2[ss]=CO[s]+O[s],0.8552466518999609,-0.9582209231334673,0.08185952988833378,1.235,1.9000000000000001,7.72638,1.18,9.620286738422221,-2.278896074335635,1.5201788097891833,3.5865293857318727,22.7305842468166,0.8961955947777778,0.13006500000000001,0.21907765,4.950431811220809,9.0
"Cu_111_CO2[ss]=CO[s]+O[s]_top[Cu.9]-brg[Cu.9,Cu.9]_top[Cu.9]_brg[Cu.9,Cu.9]-00",CO2[ss]=CO[s]+O[s],0.8559035347102508,-0.9564297337815333,0.08048957276014335,1.235,1.9000000000000001,7.72638,1.18,9.620286738422221,-2.278896074335635,1.5201788097891833,3.5865293857318727,22.7305842468166,0.8961955947777778,0.13006500000000001,0.21907765,4.950431811220809,9.0
"Cu+Zn1_111_CO2[ss]=CO[s]+O[s]_brg[Cu.9,Zn.9]-top[Cu.9]_brg[Cu.9,Zn.9]-3fh[Cu.9,Cu.9,Zn.9]-00",CO2[ss]=CO[s]+O[s],0.538082326409949,-0.9583806539480975,-0.31301642622884174,0.6175,1.775,8.5602895,1.1949999999999998,9.634473783026081,-4.7033234513722775,1.2760983311138072,6.218634036119928,61.16864265047881,1.0892753124928873,0.0379179375,0.18326509375,4.922073978003959,9.0
"Cu+Zn1_111_CO2[ss]=CO[s]+O[s]_top[Zn.9]-brg[Cu.9,Cu.9]_top[Zn.9]-brg[Cu.9,Cu.9]-00",CO2[ss]=CO[s]+O[s],0.706229086496478,-0.9540220705416687,0.1770084873974156,0.6175,1.775,8.5602895,1.1949999999999998,9.634473783026081,-4.7033234513722775,1.2760983311138072,6.218634036119928,61.16864265047881,1.0892753124928873,0.0379179375,0.18326509375,4.922073978003959,9.0
"Co_111_CO2[ss]=CO[s]+O[s]_brg[Co.9,Co.9]-top[Co.9]_brg[Co.9,Co.9]_3fh[Co.9,Co.9,Co.9]-00",CO2[ss]=CO[s]+O[s],0.014447816222400434,-0.3289514126258837,-1.0946061478057345,0.66225646,1.8799999999999994,7.881010000000002,1.16,7.653387345585129,-1.3874542404290704,1.8127411630821326,0.5488292843765561,3.649827211186801,0.9087996434714439,0.5073933333333334,0.1842982166666667,5.21440879851486,9.0
"Co_111_CO2[ss]=CO[s]+O[s]_top[Co.9]-brg[Co.9,Co.9]_top[Co.9]_brg[Co.9,Co.9]-00",CO2[ss]=CO[s]+O[s],-0.06928501335232795,-0.32909209547824503,-1.1421772251374023,0.66225646,1.8799999999999994,7.881010000000002,1.16,7.653387345585129,-1.3874542404290704,1.8127411630821326,0.5488292843765561,3.649827211186801,0.9087996434714439,0.5073933333333334,0.1842982166666667,5.21440879851486,9.0
"Pd_111_CO2[ss]=CO[s]+O[s]_brg[Pd.9,Pd.9]-top[Pd.9]_brg[Pd.9,Pd.9]_3fh[Pd.9,Pd.9,Pd.9]-00",CO2[ss]=CO[s]+O[s],1.1803858176758695,-0.9881524929837724,0.44619478931099366,0.5620000000000002,2.1999999999999997,8.33686,1.28,9.287273833446603,-1.515964252512883,1.5045430005999791,1.506322231608673,10.157575179368859,0.009154134410888894,2.2091666666666665,0.001381272222222222,5.431491029400675,9.0
"Pd+Rh1_111_CO2[ss]=CO[s]+O[s]_brg[Pd.9,Rh.9]-top[Pd.9]_brg[Pd.9,Rh.9]-3fh[Pd.9,Pd.9,Rh.9]-00",CO2[ss]=CO[s]+O[s],0.5977197476790934,-0.9871936998783895,-0.33003075215992794,0.8495000000000001,2.2399999999999998,7.89788,1.2650000000000001,8.693896230950752,-1.4448900541568679,1.622134784206295,1.2274447206267445,8.352424887217765,0.011495667531875002,3.8192500000000003,0.0018236125000000002,5.439038525191307,9.0
